LADO;NFC;QR
ESTE;718219029;01100009701
ESTE;721326613;01100009702
ESTE;717634325;01100101801
ESTE;603029957;01100101802
ESTE;712551844;01100104401
ESTE;710143636;01100104402
ESTE;942357320;01100107901
ESTE;718659476;01100107902
ESTE;709875108;01100205001
ESTE;717283220;01100205002
ESTE;719896996;01100205101
ESTE;708037540;01100205102
ESTE;269317367;01100304101
ESTE;281441783;01100304102
ESTE;718647620;01100305601
ESTE;712533828;01100305602
ESTE;295316999;01100409201
ESTE;300037895;01100409202
ESTE;981705482;01100004401
ESTE;974870538;01100004402
ESTE;969932538;01100004403
ESTE;973206026;01100004501
ESTE;956793338;01100004502
ESTE;978060554;01100004503
ESTE;985354762;01100008301
ESTE;986180618;01100008302
ESTE;972862970;01100101301
ESTE;958979066;01100101302
ESTE;986980106;01100107601
ESTE;976557066;01100107602
ESTE;602532261;01100200701
ESTE;588993957;01100200702
ESTE;981010186;01100206701
ESTE;970311162;01100206702
ESTE;703805653;01100209201
ESTE;705891365;01100209202
ESTE;710028053;01100305801
ESTE;709888277;01100305802
ESTE;706614821;01100306501
ESTE;710515221;01100306502
ESTE;951373896;01100406501
ESTE;717739029;01100406502
ESTE;512037814;01100409601
ESTE;515376310;01100409602
ESTE;600176805;01100305701
ESTE;603158437;01100305702
ESTE;590513061;01100403401
ESTE;603869093;01100403402
ESTE;300052487;01100006801
ESTE;275024375;01100006802
ESTE;281626359;01100006803
ESTE;286110727;01100000801
ESTE;290305287;01100000802
ESTE;720050100;01100006101
ESTE;704742308;01100006102
ESTE;280654839;01100006103
ESTE;270176247;01100104201
ESTE;587847845;01100104202
ESTE;278564855;01100110010
ESTE;964997626;01100300401
ESTE;718077701;01100300402
ESTE;711925156;01100308101
ESTE;712319156;01100308102
ESTE;707536405;01100003101
ESTE;706725397;01100003102
ESTE;707966485;01100003103
ESTE;385954868;01100306201
ESTE;570580219;01100306202
ESTE;940296776;01100402901
ESTE;956032104;01100402902
ESTE;276527031;01100302301
ESTE;947235624;01100302302
ESTE;713815956;01100310001
ESTE;710360740;01100310002
ESTE;715688868;01100310003
ESTE;718300228;01100402801
ESTE;716156468;01100402902
ESTE;954086216;01100307501
ESTE;940088664;01100307502
ESTE;;01100104501
ESTE;;01100104502
ESTE;;01100104503
ESTE;;01100104601
ESTE;;01100104602
ESTE;;01100104603
ESTE;;01100104701
ESTE;;01100104702
ESTE;;01100104703
ESTE;706614053;01100303201
ESTE;713756181;01100303202
ESTE;702816725;01100208701
ESTE;692079061;01100208702
ESTE;561018021;01100000301
ESTE;555345349;01100000302
ESTE;569996965;01100000401
ESTE;566100661;01100000402
ESTE;872873594;01100000501
ESTE;875416170;01100000502
ESTE;271515847;01100000601
ESTE;280080567;01100000602
ESTE;872076873;01100000701
ESTE;862845769;01100000702
ESTE;694413082;01100000901
ESTE;572647147;01100000902
ESTE;702400794;01100001001
ESTE;699459418;01100001002
ESTE;603285157;01100001101
ESTE;847619592;01100001102
ESTE;558954645;01100001201
ESTE;562853285;01100001202
ESTE;573810923;01100001301
ESTE;586618107;01100001302
ESTE;170499719;01100001401
ESTE;178773639;01100001402
ESTE;568527797;01100001501
ESTE;569819045;01100001502
ESTE;707011333;01100001601
ESTE;844102168;01100001602
ESTE;872076873;01100001701
ESTE;862845769;01100001702
ESTE;597536011;01100001801
ESTE;578921691;01100001802
ESTE;883557514;01100001901
ESTE;885437818;01100001902
ESTE;580672235;01100002001
ESTE;692017706;01100002002
ESTE;569025445;01100002101
ESTE;558910885;01100002102
ESTE;492635366;01100002201
ESTE;255571447;01100002202
ESTE;619249188;01100002301
ESTE;377954262;01100002302
ESTE;276100023;01100002401
ESTE;279336375;01100002402
ESTE;692052805;01100002501
ESTE;701896533;01100002502
ESTE;691941205;01100002801
ESTE;695148357;01100002802
ESTE;700081989;01100002803
ESTE;563797141;01100002901
ESTE;876051322;01100002902
ESTE;558693797;01100002903
ESTE;961529594;01100003001
ESTE;269578743;01100003002
ESTE;294196743;01100003003
ESTE;590005909;01100003201
ESTE;591974805;01100003202
ESTE;600321445;01100003203
ESTE;593356453;01100003301
ESTE;590278309;01100003302
ESTE;591468469;01100003303
ESTE;500729542;01100003401
ESTE;498749910;01100003402
ESTE;488978886;01100003403
ESTE;886678634;01100003501
ESTE;887013994;01100003502
ESTE;882911850;01100003503
ESTE;695687509;01100003601
ESTE;889556202;01100003602
ESTE;272863031;01100003603
ESTE;140517127;01100003701
ESTE;119821559;01100003702
ESTE;132392183;01100003703
ESTE;883348090;01100003801
ESTE;883821450;01100003802
ESTE;875909498;01100003803
ESTE;835669224;01100003901
ESTE;867415369;01100003902
ESTE;858597433;01100003903
ESTE;900579050;01100004001
ESTE;709288356;01100004002
ESTE;905049322;01100004003
ESTE;875740794;01100004101
ESTE;874839402;01100004102
ESTE;882640266;01100004103
ESTE;703402453;01100004201
ESTE;700115413;01100004202
ESTE;690281925;01100004203
ESTE;695879125;01100004301
ESTE;691128517;01100004302
ESTE;694993381;01100004303
ESTE;182545815;01100005601
ESTE;281062327;01100005602
ESTE;270420663;01100005603
ESTE;573757435;01100005701
ESTE;596838923;01100005702
ESTE;581648379;01100005703
ESTE;691262746;01100005801
ESTE;581086699;01100005802
ESTE;703684394;01100005803
ESTE;701733621;01100005901
ESTE;260563191;01100005902
ESTE;276985607;01100005903
ESTE;594866069;01100006001
ESTE;117633511;01100006002
ESTE;879118730;01100006003
ESTE;274027191;01100006201
ESTE;704190068;01100006202
ESTE;697123188;01100006203
ESTE;602034101;01100006301
ESTE;702564724;01100006302
ESTE;283952823;01100006303
ESTE;872504730;01100006401
ESTE;879293834;01100006402
ESTE;874811530;01100006403
ESTE;880355722;01100006501
ESTE;888958106;01100006502
ESTE;875663498;01100006503
ESTE;618332997;01100006601
ESTE;857554553;01100006602
ESTE;856335977;01100006603
ESTE;501598662;01100006701
ESTE;499483302;01100006702
ESTE;488931238;01100006703
ESTE;174748823;01100006901
ESTE;179065495;01100006902
ESTE;504150198;01100006903
ESTE;888402570;01100007001
ESTE;181411223;01100007002
ESTE;836892344;01100007003
ESTE;295175943;01100007101
ESTE;291790087;01100007102
ESTE;269792759;01100007103
ESTE;865724713;01100007201
ESTE;832114777;01100007202
ESTE;831650633;01100007203
ESTE;618673771;01100007301
ESTE;692176154;01100007302
ESTE;387925028;01100007303
ESTE;272052407;01100007601
ESTE;282637735;01100007602
ESTE;283559607;01100007701
ESTE;284919719;01100007702
ESTE;792061288;01100007801
ESTE;791674472;01100007802
ESTE;825113576;01100007901
ESTE;869223993;01100007902
ESTE;695199514;01100008001
ESTE;594006043;01100008002
ESTE;617458539;01100008101
ESTE;574927563;01100008102
ESTE;272736679;01100008201
ESTE;602066405;01100008202
ESTE;701939941;01100008401
ESTE;750310965;01100008402
ESTE;689222117;01100008501
ESTE;695110885;01100008502
ESTE;606426165;01100008601
ESTE;864655721;01100008602
ESTE;282924775;01100008701
ESTE;682603509;01100008702
ESTE;434481270;01100008801
ESTE;419484790;01100008802
ESTE;391007284;01100008901
ESTE;387235876;01100008902
ESTE;561674917;01100009001
ESTE;422953334;01100009002
ESTE;276140023;01100009101
ESTE;694096005;01100009102
ESTE;797356392;01100009201
ESTE;701205125;01100009202
ESTE;692418933;01100009301
ESTE;148844551;01100009302
ESTE;124867063;01100009401
ESTE;140916487;01100009402
ESTE;135866375;01100009501
ESTE;123495159;01100009502
ESTE;120871415;01100009601
ESTE;143144199;01100009602
ESTE;149303559;01100100101
ESTE;147275527;01100100102
ESTE;141116935;01100100103
ESTE;447820744;01100100201
ESTE;495430777;01100100202
ESTE;736732267;01100100301
ESTE;736462683;01100100302
ESTE;425315190;01100100401
ESTE;860864569;01100100402
ESTE;982468106;01100100501
ESTE;982536970;01100100502
ESTE;862660665;01100100601
ESTE;838395112;01100100602
ESTE;137834247;01100100701
ESTE;119512567;01100100702
ESTE;826522088;01100100801
ESTE;858719049;01100100802
ESTE;764477371;01100100901
ESTE;767839691;01100100902
ESTE;574122187;01100101001
ESTE;585975243;01100101002
ESTE;587280565;01100101101
ESTE;502310537;01100101102
ESTE;145305095;01100101201
ESTE;130619383;01100101202
ESTE;700392949;01100101401
ESTE;694478581;01100101402
ESTE;697401333;01100101501
ESTE;714342917;01100101502
ESTE;606385973;01100101601
ESTE;619851333;01100101602
ESTE;965645050;01100101701
ESTE;953998904;01100101702
ESTE;697989962;01100101901
ESTE;702642250;01100101902
ESTE;614463541;01100102001
ESTE;616248389;01100102002
ESTE;444832184;01100102101
ESTE;445681080;01100102102
ESTE;935781880;01100102201
ESTE;924303608;01100102202
ESTE;939233784;01100102301
ESTE;923691256;01100102302
ESTE;567882933;01100102401
ESTE;554655141;01100102402
ESTE;596418827;01100102501
